Theme	Parent	Definition	Example	References
asteroid deflector	mastering space	A device capable of protecting its host planet by deflecting incoming asteroids.	After the Enterprise had spectacularly failed to divert the asteroid, Captain Kirk accidentally activated an ancient asteroid deflecting device on the planet’s surface in tos3x03 "The Paradise Syndrome".	https://en.wikipedia.org/wiki/Asteroid_impact_avoidance
asteroid impact	force majeure existential risk	Life on a planet is threatened by an asteroid that is on a collision course with it.		https://en.wikipedia.org/wiki/Impact_event
atmospheric dissipation	force majeure existential risk	The atmosphere on a planet disappears and civilization collapses.	Worf's unruly brother Nikolai save a group of Boraalan villagers from certain death in a rapid atmospheric dissipation event on their homeworld in tng7x13 "Homeward".	http://memory-alpha.wikia.com/wiki/Atmospheric_dissipation
atrocities of war	war	Atrocities, such as torture or the mass killing of civilians, are carried out during the course of a war.		https://en.wikipedia.org/wiki/War_crime
atrophied civilization	man-made existential risk	Civilization simply stagnates and becomes weak to the point where it may not be capable of safeguarding its own continuation.		http://www.sf-encyclopedia.com/entry/arrested_development
attachment to one's land	human need	The human penchant for becoming attached to geographical locations is featured. This is perhaps a nicer way of referring to human territoriality.		https://en.wikipedia.org/wiki/Place_attachment
attachment to one's livelihood	human need	The human tendency to become attached to a profession and be reluctant to give it up is featured.	Xenophobic miners on Janus VI nearly killed the last alien of a species rather than give up their lucrative livelihood in tos1x26 "The Devil in the Dark".	
attachment to one's people	human need	The human tendency to build up loyalty to the people in the society we live in for a long time is featured. This is perhaps a nicer way of referring to (ethno-) nationalism.	Ro Larren decided to betray the Federation and side with her own people in tng7x24 "Preemptive Strike".	
attack from outer space by a genocidal enemy	extraterrestrial threat	Homicidal aliens from outer space come to your home planet and massacre everyone.	The colonists of Tau Cygna V were slated for extermination by the genocidal Sheliak in tng3x02 "The Ensigns of Command".	https://en.wikipedia.org/wiki/Alien_invasion
attack from outer space by a giant space amoeba	extraterrestrial threat	An enormous space-dwelling, single-celled organism with amoeba-like characteristics engulfs your whole planet and consumes every last thing living on it as well as the planet itself.	The Gamma 7A system, with its billions of inhabitants, was utterly destroyed by a giant space amoeba in tos2x19 "The Immunity Syndrome".	
attack from outer space by a powerful conquering alien race	extraterrestrial threat	Imperialistic aliens from outer space come along and subjugate your civlization to their own ends.	The mirror universe Halkan homeworld  was under threat of being conquered or destroyed by the savage Terran Empire in tos2x10 "Mirror, Mirror".	https://en.wikipedia.org/wiki/Alien_invasion
attack from outer space by a world eating machine	extraterrestrial threat	An enormous world eating machine gobbles up your whole planet for food or fuel.	All the planets in systems L-370 and L-374 were reduced to rubble by a world eating machine in tos2x06 "The Doomsday Machine".	
attack from outer space by a world eating space cloud	extraterrestrial threat	An enormous world eating cloud from outer space gobbles up your whole planet for food or fuel.	The planet Mantiles, with its 82 million colonists, was very nearly consumed by a giant space cloud in tas1x03 "One of our Planets is Missing".	
attack from outer space by bug aliens	extraterrestrial threat	Nefarious bug-like aliens from outer space come along, infiltrate and subjugate your civilization to their own ends.	Starfleet Command was infiltrated by a race of parasitic bug aliens intent on the conquest of Earth in tng1x25 "Conspiracy".	
attitude towards the dead	views and customs	We are shown possible ways of thinking about death and the departed.	Most of us feel a measure of respect for the body of a late compatriot, but the Klingons in tng1x20 "Heart of Glory" demonstrated complete disregard for the empty husk of a corpse their friend had recently departed.	https://en.wikipedia.org/wiki/Category:Death_customs
autonomous sentient tool	AI technology	A sentient robot that functions essentially as a multi-purpose tool with a high degree of problem-solving ability.		
avarice	deadly sin	A character is obsessed with the pursuit of material possessions.	DaiMon Lurin, motivated by profit, temporarily seized control of the Enterprise-D and threatened to force its crew to work the mines of Ligos VII in tng6x07 "Rascals".	
avian alien	earth-life inspired life form	An alien race patterned after birds.	The historian Aleek-Om, a bird-like alien of the race Aurelian, took tricorder readings in the vicinity of the Guardian of Forever in tas1x02 "Yesteryear".	
awe	pleasant emotion	A character exhibits a strong feeling of wonder and amazement, often tinted with a dash of fear and reverence.		
basic calculus	topic in science	A large and important area of mathematics with applications in all fields of science and engineering.	Young Harry did not understand why he had to study calculus in tng1x17 "When The Bough Breaks". He would much rather have spent his time sculpting dolphins.	https://en.wikipedia.org/wiki/Calculus
be careful what you wish for	life lesson	Someone gets what they desire only to find out that they really shouldn’t have desired it in the first place.		
be mindful of first impressions	life lesson	Someone learns how important first impressions can be as they often last longer in the mind than subsequent memories.	Sonya Gomez made a terrible first impression when she spilled hot chocolate all over Captain Picard on her first day in tng2x16 "Q Who".	https://en.wikipedia.org/wiki/First_impression_(psychology)
beards	male stereotype	The sublime matter of pogonotrophy (the cultivation of one's facial hair) is discussed.	Star Trek enthusiasts were treated to a double dose of Riker and his beard in tng6x24 "Second Chances".	https://en.wikipedia.org/wiki/Beard https://en.wikipedia.org/wiki/Facial_hair
beating one's self up	introspection	Someone chastises themself over a perceived failure.		https://dictionary.cambridge.org/dictionary/english/beat-yourself-up
beauty is in the eye of the beholder	views and customs	We are shown that the perception of what is beautiful or not depends on the observer. What is pretty to one may be ugly to another.	The grotesque looking Horta alien thought that it was the humans that should be pitied for their unsightly appearance in tos1x26 "The Devil in the Dark".	https://en.wiktionary.org/wiki/beauty_is_in_the_eye_of_the_beholder
bedrock dwelling alien	inhospitable environment dwelling life form	Aliens that live literally in bedrock.	The Horta, itself composed of silicon, eked out a living by burrowing tunnels in the bedrock on Janus VI in tos1x26 "The Devil in the Dark".	
being that feeds on emotions	parasitic life form	An alien life form that somehow derives nourishment from the emotions of beings that have emotions.		http://tvtropes.org/pmwiki/pmwiki.php/Main/EmotionEater
belonging	group interaction	Members of a group feel that they are an essential part of that group.		https://en.wikipedia.org/wiki/Belongingness
betrayal of trust	one-on-one interaction	A character betrays the trust of another.		
better to have loved and lost	life lesson	The wisdom in the old saying "it is better to have loved and lost than never to have loved at all" is illustrated.	When star-crossed lovers Nella Daren and Captain Picard opted to part ways after a passionate but turbulent dalliance in tng6x19 "Lessons", both seemed decidedly happier for the experience they had shared.	https://en.wikipedia.org/wiki/In_Memoriam_A.H.H.
bigotry in society	contemporary social issue	The ramifications of bigotry, insensitivity to other peoples beliefs, in society are explored.		
bilaterally colored alien	biologically distinguished life form	A sentient species whose members have different skin pigmentation on the left side and the right side of their bodies respectively.	Cheron natives Bele and Lokai were black on one side and white on the other In tos3x15 "Let that be your Last Battlefield"	
binary thinking alien	mentally distinguished life form	An alien race that is said to think like a computer in ones and zeros.	The Bynar of Bynaus though in binary in tng1x15 "11001001".	
biological computer	fictional apparatus	A machine that works much like a classical computer but is grown out of organic materials.		https://en.wikipedia.org/wiki/Biological_computing, http://www.sf-encyclopedia.com/entry/bionics
biological stasis technology	human enhancement	Technology that can stop, e.g., a human body from aging or changing in any way for an extended amount of time.	Kamala the Metamorph was kept in a stasis device so that she wouldn’t upset the crew with her erotic powers in tng5x21 "The Perfect Mate".	
biological warfare	war	Biological weapons, i.e., man-made diseases, are used in warfare.		
biologically distinguished life form	novel alien concept	The category of themes that posit aliens with particular kinds of biologies such as living in symbiosis or having unusual methods of reproduction.		
bird in a gilded cage	facing general adversity	Someone faces living in luxury but without freedom.	Harry Mudd was waited on by an army of ostensibly loyal androids and had everything he could wish for except the freedom to leave in tos2x12 "I, Mudd".	https://idioms.thefreedictionary.com/a+bird+in+a+gilded+cage
