Theme	ThemeID	ParentTheme	Tags	RelatedThemes	Definition	Example
fairness	641	agreeable characteristic			A character steadfastly sticks to a traditional moral code in spite of temptation to do otherwise. It nearly always has to do with being honest and defending ones reputation. It very often involves Klingons.	Worf, being a true man of honor, implored the Klingon authorities to grant honorable deaths to three Klingon renegades whom he had come to respect in tng1x20 "Heart of Glory".
fortitude	123	agreeable characteristic			Someone is very hospitable towards their guests.	Captain Kirk held a banquet for Khan Singh to welcome the former dictator of Earth to the 23rd century in tos1x24 “Space Seed”.
heroism	249	agreeable characteristic		creativity	Someone is being at least a borderline genius. This is used about technical minded problem solving; for genial artists see “creativity”.	Captain Kirk's ingenuity was put on display in tos1x19 "Arena" when he made an improvised cannon by stuffing a bamboo stockl with sulfur, coal, potassium nitrate, and diamonds.
honesty	465	agreeable characteristic			Someone exhibits the genuine desire to find things out in the way of a good student or scientist. Note that a person’s questions being perceived as bothersome neither implies nor precludes the theme; its applicability depends on the motives for the inquiry.	
honor	183	agreeable characteristic			When a character sticks to their moral principles in spite of temptation to do otherwise.	Captain Kirk unhesitatingly refused Korob's offers of tasty foods and sparkling gemstones in exchange for his cooperation in tos2x01 "Catspaw".
hospitality	104	agreeable characteristic			Someone feels strongly for a worthy cause and tries hard to further it. It sometimes turns out to be a bad cause but it is the motives that define the theme.	
ingenuity	250	agreeable characteristic		temperance	Someone declines luxury and comfort.	
inquisitiveness	659	agreeable characteristic	AI		An intelligent machine is left by a long gone civilization on a planet  and becomes its guardian or caretaker.	A landing party encountered the artificial custodian Portal 6-3 on a planet formerly belonging to the long disappeared Tkon Empire in tng1x05 "The Last Outpost".
integrity	193	agreeable characteristic	AI		A robot designed to look and act like a human.	
personal conviction	126	agreeable characteristic	AI		A sentient robot that functions essentially as a multi-purpose tool with a high degree of problem-solving ability.	
Spartan asceticism	368	agreeable characteristic	AI		A shared or group intelligence that emerges from the collective efforts of many individuals.	
ancient artificial custodian	748	AI technology	AI		In order to avoid the accidents an escalations commonly associated with a war, a powerful computer is tasked with simulating all the fighting in a fair and orderly manner. The outcome is reported to the combatants on whom the verdict is binding, i.e., losers must commit suicide.	Captain Kirk pulled the plug on a 500 year long computer simulated war between the Eminain Union and the People of Vendikar in tos1x23 “A Taste of Armageddon”.
android	113	AI technology	AI		An intelligence forms through some natural process akin to evolution. This is as opposed to it being designed by some other intelligence.	
autonomous sentient tool	753	AI technology	AI		A sophisticated but not quite sentient mobile machine that serves man as his helper.	The immortal Mr. Flint had a hovering robot helped named M-4 in tos3x21 “Requiem for Methuselah”.
collective intelligence	340	AI technology	AI		A computer-like machine that is self-aware an intelligent. This is used about stationary devices.	
computer simulated war	1088	AI technology	AI		An artificial self-aware object designed to explore space.	Nomad was such an object in tos2x08 "The Changeling", and hellbent on cleansing the universe of imperfect beings.
emergent intelligence	632	AI technology	AI		A “fully functional” android of one gender or another, designed to please its masters in matters of the flesh.	
robot helper	1333	AI technology	AI	the universe is a simulation theory	A personality that exists only as a program within some computer. It is self-aware but may or may not be cognizent of its status as a simulation. Perhaps we all are such.	
sentient computer	291	AI technology	mathematics, physics		A mathematical model of a world confined to two spatial dimensions.	The Enterprise-D got stuck in a plane of two-dimensional beings in tng4x10 "The Loss".
sentient space probe	1349	AI technology	physics, temporal mechanics		A muddle headed notion of something that is to time as antimatter is to conventional matter, i.e., when they meet they annihilate each other in a spectacular explosion and anything can happen.	Time and anti-time collided with spectacular consequences in tng7x25 "All Good Things...".
sex-droid	431	AI technology	physics, temporal mechanics, wacky		A small-scale distortion in spacetime causing anything within it to travel in time.	Small localized time distortions wrought havoc aboard the Enterprise-D and made Captain Picard’s finger nails grow rapidly in tng6x25 "Timescape".
simulated personality	566	AI technology	mathematics, physics		Space as it would be if the rules and axioms of geometry were suddenly different from what we know.	The Enterprise flew at warp speed in a straight line only to find itself back where it began in tng2x02 "Where Silence Has Lease", just as would someone who traveled in a straight line on the surface of Earth. Perhaps Nagilum’s realm was a hypersphere.
2D space	1005	alternate laws of nature	physics, wacky		A fantasy world where the basic physical laws of everyday life operate in reverse.	The use of reverse thrust propelled the Enteprise forward inside a mysterious "zone of darkness" in tos2x19 "The Immunity Syndrome".
anti-time phenomenon	1040	alternate laws of nature	physics, temporal mechanics, wacky		A fantasy world where time runs in reverse, e.g., people are born old and die young.	The Enterprise got sucked into just such a universe in tas2x06 "The Counter-Clock Incident".
localized time distortion	1231	alternate laws of nature	physics, temporal mechanics, wacky		A repeated period of time that is typically re-experienced by those within it.	
non-Euclidean space	877	alternate laws of nature	physics, temporal mechanics, wacky		A doorway in time.	
reversed Newtonian mechanics	1328	alternate laws of nature	physics, temporal mechanics, wacky		Time moves faster for some.	The Scalosians had been subjected to radiation that made them speed up in time in tos3x13 "Wink of an Eye". The radiation had its negative effects also, rendering them sterile.
reversed time	1329	alternate laws of nature	physics, temporal mechanics		The concept of movement between past and future points in time.	
time loop	726	alternate laws of nature	wacky		A world where the naïve interpretation of the experience of déjà vu is the correct one.	Senior officers experienced déjà vu because the ship was stuck in a time loop in tng5x18 "Cause and Effect".
time portal	727	alternate laws of nature	wacky		A world where telepathy constitutes a part of the ordinary operation of natural laws.	
time speed up	1467	alternate laws of nature	what if question		The category of themes that centre around someone facing such an unusual situation as no one would normally expect to face in their lifetime. Many of these themes involve magic or seemingly magical phenomena.	
time travel	230	alternate laws of nature	what if question		The category of themes that centre around someone experiencing what it would be like if their life were different in some interesting and significant aspect. Many of these themes involve magic or seemingly magical phenomena.	
world with déjà vu	1531	alternate laws of nature			The category of themes that are about incredible things or circumstances that could (potentially, hypothetically or in our wildest imagination) befall an individual.	
world with telepathy	267	alternate laws of nature			The category of themes that are about how society could be different - either in the future, in an alien population, or in a different universe altogether.	
what if I faced an incredible situation	66	alternate life	aliens		The category of themes that are about what kind of sentient beings there could be out there in the universe. Aliens that range from bacteria-like organisms all the way to transcendental beings are posited.	
what if my life were different	109	alternate life			The category of themes about where science might potentially lead us. These themes explore futuristic technologies and the implications of alternate laws of nature.	
alternate life	45	alternate reality			The category of themes that are about how life on a planet (notably Earth) could come into jeopardy. An event that would destroy an entire humanoid species or irreversibly cripple its civilization so that it could not reach its full potential is posited.	
alternate society	42	alternate reality			Notions about how society could be made “perfect”. Note that such notions are often scatterbrained and the objects of the themes turn out to be horrible dystopia. This is all captured in the word “utopia” which literally means “no place”.	
novel alien concept	21	alternate reality	what if question		The category of alternate reality themes which imagine a society of humans or aliens that is different from what we normally experience in some interesting respect.	
novel sci-fi concept	13	alternate reality			Someone displays a notable degree of compassion toward the plight of another individual or group.	
existential risk	50	alternate society		magnimity in victory	Someone accepts a defeat with dignity.	Dr. James Moriarty conceded defeat with impeccable Victorian poise in tng2x03 "Elementary, Dear Data".
utopia	166	alternate society			The category of themes that deal with loyalty, e.g., between friends, from a subordinate to a superior, etc..	
what if society were different	240	alternate society		graciousness in defeat	Someone is forgiving to a rival they have bested.	Riker graciously declined Portal 6-3's offer to destroy a party of conniving Ferengi in tng1x05 "The Last Outpost".
compassion	80	amicable disposition			Someone displays forgiveness, pity, or compassion toward another who is under their authority, i.e., is at their mercy.	
graciousness in defeat	1184	amicable disposition			Someone shows feelings of sympathy at the misfortune of another.	
loyalty	82	amicable disposition			Someone exhibits feelings of admiration toward an enemy owing to their abilities or achievements.	
magnanimity in victory	272	amicable disposition			Someone regards another with scorn or disdain and deems them beneath consideration.	
mercy	198	amicable disposition			A character experiences a lack of self-worth and possibly feelings of not measuring up to expectations. 	
pity	555	amicable disposition			Someone is visibly outraged by something that conflicts with his or her own personal morals.	
respect for an enemy	563	amicable disposition			Someone has a preconceived negative opinion about a category of people, typically an ethnic group. In the extreme this leads to fear and hatred of that group.	
contempt	610	antagonistic disposition			Someone harbors a resentment toward another stemming from a belief that he or she has been wronged by that person.	
inferiority complex	840	antagonistic disposition	aliens		A fully mature, sentient being with a body that closely resembles a human baby.	Balok, captain of the First Federation starship Fesarius, had the body of a toddler in tos1x02 "The Corbomite Maneuver"
moral outrage	475	antagonistic disposition	aliens		A sentient species whose members have different skin pigmentation on the left side and the right side of their bodies respectively. 	Cheron natives Bele and Lokai were black on one side and white on the other In tos3x15 "Let that be your Last Battlefield"
prejudice	208	antagonistic disposition	aliens		A sentient species that does not undergo a development stage of “childhood” as humans do but arrive into the world mature.	The Iyaarans emerge full-grown from natal pods it was revealed in tng7x02 "Liaisons" 
resentment	312	antagonistic disposition	aliens		A sentient species that mates only at regular intervals.	Spock was returned to planet Vulcan at warp speed so that he might complete the Vulcan seven year mating cycle in tos2x05 "Amok Time" and did not die from abstinence.
alien with the body of a toddler	1034	biologically distinguished life form	aliens		A sentient species whose members are all the same gender, i.e., neither male nor female.	The J'naii of tng5x17 "The Outcast" are a neither male nor female barring a few curious deviants.
bilaterally colored alien	1061	biologically distinguished life form	aliens		A sentient species that like to spend extended periods of time in a coma-like sleep to preserve energy.	The fish-like Antedeans of tng2x19 "Manhunt" preferred to hibernate on long space-flights.
childless reproducing alien	1079	biologically distinguished life form	aliens	parasitic alien	A sentient species that lives in a close interdependent relationship with an entirely different species. Both receive some benefit from the arrangement which would otherwise be called parasitic.	The humanoid Trill Odan was found to to have a bug-like symbiont inside his body In tng5x24 "The Host".
cyclical mating cycle alien	1116	biologically distinguished life form		facing adversity	The category of themes that center around someone carrying on in the face of a pervasive difficulty that they can do nothing about.	
gender neutral alien	1171	biologically distinguished life form		coping with adversity	The category of themes that center around someone confronting something difficult that they actively endeavor to overcome. This includes matters of survival and making a self-sacrifice.	
hibernating alien	831	biologically distinguished life form			The category of themes that involve someone being faced with making a tough decision.	
symbiotic alien	932	biologically distinguished life form			The branch of philosophy dealing with the nature of art, beauty, and taste; and with the creation and appreciation of beauty.	
coping with adversity	17	challenges in life			The branch of philosophy that involves systematizing, defending, and recommending moral principles.	
facing adversity	15	challenges in life			The distinguishing characteristics—including ways of thinking, feeling, and acting—which humans tend to have naturally.	
tough decision	24	challenges in life			The branch of philosophy concerned with the fundamental nature of reality and such basic concepts as existence, matter, space, time and causation.	
aesthetics	401	classical philosophy			Someone is forced to choose between following their duty on the one hand, and acting to help a fellow being out of compassion on the other.	
ethics	52	classical philosophy			Someone is forced to choose between acting in accord with their duty, and acting in accord with their conscience.	
human nature	51	classical philosophy			Someone is forced to choose between opposing groups.	
metaphysics	129	classical philosophy			Someone is forced to choose between following their duty, and helping a friend.	In tos1x13 "The Galileo Seven", Captain Kirk was torn between his duty to the Federation to deliver medicine on the one hand, and his duty to continue his search for Spock on the other.
duty vs. compassion	235	conflict of duty			Someone is forced to choose between following their duty, and following their heart.	The allasomorph princess Salia chose the office of head of state of the planet Daled IV over Wesley in tng2x10 "The Dauphin".
duty vs. conscience	629	conflict of duty			Someone is forced to choose between following their duty, and saving their own skin.	
duty vs. duty	378	conflict of duty			Someone can’t wait for law-enforcement and instead takes matters into their own hand by, e.g., tracking down and killing criminals.	
duty vs. friendship	181	conflict of duty			Vested authority is used by someone to illegitimately pursuit their own private goals.	
duty vs. love	307	conflict of duty			Someone has actual power over others, e.g. by muscle, weaponry or magic powers, and use these in a morally contentious way.	
duty vs. self-preservation	379	conflict of duty			The category of themes about common social movements that aim to change society in various ways.	
taking the law into one's own hands	573	conflict of duty		anti-intellectualism	The ramifications of anti-intellectualism in society are explored.	Daystrom was harassed by philistines like Captain Kirk who didn’t understand is his great achievements in duotronic computing in tos2x24 "The Ultimate Computer".
abuse of authority	299	contemporary social issue			The ramifications of bigotry, insensitivity to other peoples beliefs, in society are explored.	
abuse of real power	444	contemporary social issue	juvenile		The ramifications of bullying in society are explored.	
activism	300	contemporary social issue			The ramifications of excessive bureaucracy, too much paperwork and red tape, to society are explored.	The Gideoneans tried in vain to use bureaucratic tricks to stop Spock from finding Captain Kirk in tos3x17 "The Mark of Gideon".
anti-intellectualism in society	591	contemporary social issue	juvenile		The ramifications of child abuse in society are explored.	
bigotry in society	757	contemporary social issue	juvenile		Children are featured as a powerful force in society.	
bullying	761	contemporary social issue	juvenile		Children are left without any adult supervision and are left to organize (or descend into chaos) by themselves.	A band of abandoned brats tried to “bonk bonk” Captain Kirk on the noggin in tos1x11 "Miri".
bureaucracy	1074	contemporary social issue			The ramifications of conformism in society, the strong expectation (sometimes enforced) that everyone should adapt themselves to specific norms, are explored.	A band of space hippies refused to conform and scolded Captain Kirk for being a rigid old “Herbert” in tos3x20 "The Way to Eden".
child abuse	763	contemporary social issue			The importance of preserving an imperiled culture is explored.	The aliens on Malcor III decided to protect their dogmatic we-are-the-centre-of-the-universe beliefs by shutting themselves off from the Federation and the outside world in tng4x15 "First Contact".
child power	506	contemporary social issue			The ramifications of discrimination in society are explored.	The telekinetically endowed Platonians treated the dwarf Alexander as a second class citizen because he did not have any mental powers in tos3x12 "Plato's Stepchildren".
community of abandoned children	1086	contemporary social issue			The ramifications of drugs and drug trade in society are explored.	The Brekkians found that trading a certain drug to the Ornarans was such a lucrative enterprise that they needed no other industry whatsoever in tng1x22 "Symbiosis".
conformism in society	1090	contemporary social issue			The ramifications of an economic depression on society are explored.	Captain Kirk and Spock followed McCoy back to the 1930s and got to experience the American Great Depression first hand in tos1x28 "The City on the Edge of Forever".
cultural preservation	1114	contemporary social issue			The ramifications of elitism in society, a small group of people being particularly favoured, are explored.	
discrimination	1126	contemporary social issue			Ideas surrounding the preserving of endangered species are explored.	
drug trade	1131	contemporary social issue			An ideology that emphasizes environmental protection and improvement of the health of the environment with a focus on non-human elements.	
economic depression	1135	contemporary social issue			Hostility toward an ethnic group is featured.	
elitism	631	contemporary social issue			The question of where to draw the line when it comes to the use of experimental medical procedures is featured. Examples include when a doctor resorts to the use of such procedures on his or her patients either in the name of the advancement of medical science or as a last resort on a critically ill patient.	Dr. Toby Russell wanted to test out her new surgical procedure for spinal transplantation on Worf but Beverly remonstrated in tng5x16 "Ethics".
endangered species	633	contemporary social issue			Religious or political ideologies far outside the mainstream attitudes of society that are considered to be threatening to the established order.	Ensign Ro Laren infiltrated a group of Bajoran terrorists known as the Maquis in tng5x03 "Ensign Ro".
environmentalism	802	contemporary social issue			The ramifications of legal fraud in society are explored.	Ardra conned an entire planet by pretending to be their Antichrist in tng4x13 "Devil's Due".
ethnic hatred	225	contemporary social issue			The social consequences of gambling addiction, such as the harm caused to those other than the gambler, are explored.	The pursuit of a good gamble had turned the Triskelian society into one of slavery and sadism in tos2x17 "The Gamesters of Triskelion".
experimental medical procedure	805	medical ethics			The pros and cons of government secrecy to society are explored.	The Ressikan community on Kataan were kept in the dark about the impending doom of their civilization in tng5x25 "The Inner Light".
extremism	1144	contemporary social issue			The ramifications of allowing governments to detain people indefinitely are discussed.	The Romulans had kept Klingon war prisoners from the Khitomer Massacre in a prison camp for many years in tng6x17 "Birthright, Part II".
fraud	1160	contemporary social issue			The ramifications of instilling the people in a society with a biased, one-sided or uncritical ideology are explored.	The Cardassian military indoctrinated the Cardassian people in the virtues of the Cardassian military in tng6x11 "Chain of Command, Part II".
gambling addiction in society	1168	contemporary social issue	juvenile		The ramification of indoctrinating a group of young people are explored. 	Spock was unsettled to have stumbled on the fugitive Lokai indoctrinating some younger members of the crew in tos3x15 "Let That Be Your Last Battlefield".
government concealing information	1183	contemporary social issue			A hearing, trial, or other such legal procedure is featured.	
indefinite detention	1204	contemporary social issue			The role of machines in society is explored. Examples include the ramifications of people being replaced by machines at work and the use of AI technology in daily life.	
indoctrination of a people	1205	contemporary social issue			The pros and cons of the mail-order bride system are explored.	The secluded lithium crystal miners on Rigel XII where overjoyed when Harry Mudd appeared with their shipment of mail-order brides in tos1x03 "Mudd's Women".
indoctrination of the young	839	contemporary social issue			The ramifications of someone favoring relatives or personal friends because of their relationship rather than because of their abilities are explored.	
legal proceedings	421	contemporary social issue			The pros and cons of online dating are explored.	Lwaxana and Campio met aboard the Enterprise-D after having exchanged personality profiles in tng5x20 "Cost of Living".
machines in society	261	contemporary social issue			The ramifications of challenging the authority, and by extension the social order, in society are explored.	
mail-order brides	1239	contemporary social issue			The exercise of authority or power in a burdensome, cruel, or unjust manner against an identifiable group of people is explored.	
nepotism	1261	contemporary social issue			The pros and cons of harvesting the organs of others to serve some great need are discussed.	Spock’s brain was harvested by aliens who wanted it as a computer in tos3x06 "Spock's Brain".
online dating	1268	contemporary social issue	juvenile	orphanhood	The care of orphans in society is expolred.	
opposition to authority	882	contemporary social issue			The ramifications of people collectively ignoring or somehow escaping mentally from the problems they face are explored.	
oppression	237	contemporary social issue	crime and punishment		The matter of perjury in relation to miscarriages of justice is explored.	
organ harvesting	1272	contemporary social issue		prejudice	The subject of prejudice against a group of people in society is explored.	
orphans in society	883	contemporary social issue			The social ramifications of there being psychopathic criminals, and the treatment of such individuals, is explored.	
people escaping from reality	679	contemporary social issue			The ramifications of religious fanaticism in society are explored.	
perjury	893	contemporary social issue			The potential consequences of introducing small man-made self-replicating devices is explored.	Wesley created such things in tng3x01 "Evolution".
prejudice in society	127	contemporary social issue			The ramifications of social inequality in society are explored.	
psychopathic criminal in society	684	contemporary social issue			A society ceases to advance in art, science, forms of government, and other characterisitcs of advancing civilization.	
religious fanaticism	904	contemporary social issue			A statutory maximum time that may elapse between a crime and the initiation of legal proceedings for that crime is featured.	Did Kodos the Executioner really deserve to be persecuted 20 years after his alleged crime in tos1x12 "The Conscience of the King"?
self-replicating nano-devices	1346	fictional apparatus			The social ramifications of people taking (and wishing to take) their own lives, are explored.	Troi investigated the suicide of Lt. Daniel Kwan, learned about another suicide long ago, and ended up nearly taking her own life in tng7x18 "Eye of the Beholder".
social inequality	697	contemporary social issue	science		The dangers of scientific experiments going out of control with disastrous consequences for society, or the results of scientific discovery being used for mass destruction, are explored.	
social stagnation	698	contemporary social issue			The social factors involved in the development of a psychopathic criminal are explored.	Armus became a being of pure evil when the Titans left him behind in tng1x23 "Skin of Evil".
statute of limitations	1390	contemporary social issue			The pros and cons of accepting death, as opposed to seeking immortality, in society are explored.	
suicide in society	1396	contemporary social issue	crime and punishment		The pros and cons of the presumption of innocence as a legal right are explored.	On Tanuga IV, by contrast with the Federation, people were presumed to be guilty until proven innocent in tng3x14 "A Matter of Perspective".
the dangers of unfettered scientific advancement	941	contemporary social issue			The role of disabled people in society is explored.	Miranda Jones hid her blindness and proved she could do just as well as a normal person in tos3x07 "Is There in Truth No Beauty?".
the making of a monster to society	948	contemporary social issue			The role of the elderly in society is explored.	
the need for death	716	contemporary social issue			The role of war veterans in society is explored.	The Angosians tucked their genetically engineered war veterans safely away on a shabby little moon in tng3x11 "The Hunted".
the presumption of innocence	1446	contemporary social issue			The subject of vandalism in society is explored.	The Troglytes of Ardana were none too happy with their status as lowly miners and used vandalism to voice their displeasure in tos3x19 "The Cloud Minders".
the role of the disabled in society	1452	contemporary social issue			The social ramifications of a bitter, destructive feud between two factions are explored.	Yuta of the vanquished clan Tralesta was genetically altered and spent 100 years tracking down members of the Lornak clan in a vendetta in tng3x09 "The Vengeance Factor".
the role of the elderly in society	721	contemporary social issue			The social ramifications of some people in a conflict (rightly or wrongly) exaggerating their own victimhood in order to inspire sympathy are explored.	
the role of war veterans in society	1453	contemporary social issue			Someone is coping with a physical or mental condition that causes him or her a lot of pain or anxiety.	
vandalism	1481	contemporary social issue			Someone is experiences a dangerous situation.	
vendetta	496	contemporary social issue			Someone is coming to grips with the death of a person or persons who he or she had a degree of attachment to in life.	
victimization	981	contemporary social issue			The category of themes that involve someone having to do something they know they must do but that is nevertheless psychologically very difficult.	
coping with an affliction	61	coping with adversity			The category of themes that involve someone coming to terms with some common problem that happens to common people in the common course of life.	
coping with danger	160	coping with adversity			The category of themes that involve someone putting up with a person who they cannot avoid but find if difficult to deal with for whatever reason. 	
coping with death	53	coping with adversity			The category of themes that involve someone having trouble with their place in society, or with family and friends, etc.	
coping with having to do something	189	coping with adversity			Someone is experiences a stressful situation.	
coping with life issues	190	coping with adversity			Someone experiences the effects of a bad hangover.	Scotty coped with the effects of a bad hangover after drinking the Kelvan Tomar under the table in tos2x21 "By Any Other Name". The engineer again struggled with a bad hangover in tas1x10 “Mudd's Passion” and later tng6x24 "Relics".
coping with problematic people	94	coping with adversity			Someone experiences life with a emotional or physical disability.	
coping with social issues	106	coping with adversity			Someone is powerless to help a friend who is losing their mind and is left with no alternative but to stand idly by and watch the descent into madness.	
coping with stress	223	coping with adversity			Someone experiences having to watch a friend overexert himself at work.	
coping with a bad hangover	613	coping with an affliction			Someone struggles with a loss of faith in religious beliefs that they once held dear.	
coping with a disability	242	coping with an affliction			Someone experiences having a loved on who is terminally ill.	
coping with a friend who is losing his mind	770	coping with an affliction			Someone experiences having a terminal illness.	McCoy diagnosed himself with xenopolycythemia, a rare blood disease that is always terminal, in tos3x10 "For the World is Hollow and I have Touched the Sky".
coping with a friend who is overexerting himself	614	coping with an affliction			Someone copes with the inevitability of growing old.	Lwaxana coped with aging once in tng4x22 "Half a Life" and again in tng5x20 "Cost of Living".
coping with a loss of faith	771	coping with an affliction			Someone copes with the life altering effects of suddenly loosing much of their memory.	 John Doe struggled with a bad case of amnesia in tng3x25 "Transfigurations", not even remembering his own name.
coping with a loved one being terminally ill	512	coping with an affliction			Someone lives with a deformity or injury that has left them permanently disfigured to a  appalling degree.	Vina was horribly disfigured in a crash landing on the planet Talos IV in tos0x01 "The Cage".
coping with a terminal illness	372	coping with an affliction			Someone is struggling with second though about getting married as their wedding day draws near.	Keiko O'Brien, née Ishikawa, experienced some last minute jitters over marrying Miles O'Brien in tng4x11 "Data's Day".
coping with aging	256	coping with an affliction			Someone is racked with unbearable pain that they are powerless to stop.	Mirror Chekov was sentenced to a full duration in the agony booth as punishment for trying to assassinate the captain in tos2x10 "Mirror, Mirror".
coping with amnesia	514	coping with an affliction			Someone is unable to sleep.	Troi struggled with insomnia in tng4x17 "Night Terrors".
coping with being horribly disfigured	516	coping with an affliction			A woman, typically aged 45-50, experiences menopausal symptoms.	Lwaxana coped with a characteristically Betazoid form of menopause in tng2x19 "Man Hunt".
coping with cold feet	1100	coping with an affliction			Someone copes with a mental disorder that can develop after a person is exposed to a traumatic event.	Super soldier Roga Danar suffered from post-traumatic stress disorder after having served in the Angosian military in tng3x11 "The Hunted".
coping with excruciating pain	375	coping with an affliction			Someone copes with a loss of their mental faculties that comes naturally with age.	In tng3x23 “Sarek", Sarek coped with having Bendii Syndrome, which is a rare degenerative neurological disorder that sometimes affects Vulcans over the age of two hundred.
coping with insomnia	775	coping with an affliction			Someone frets and worries about taking a test.	Wesley was racked with anxiety in anticipation of taking the Starfleet Academy entrance exam in tng1x19 “Coming of Age”.
coping with menopause	1103	coping with an affliction			Someone copes with having to wear a pair of boots that are too tight.	McCoy was outfitted as a Gestapo doctor in tos2x23 “Patterns of Force”, but the boots were too damn tight.
coping with post-traumatic stress	304	coping with an affliction			Someone must stand idly by while a loved one faces a perilous situation.	
coping with senility	617	coping with an affliction			Someone copes with being confined in a penalty box after committing an in game infraction.	Captain Picard consoled Natasha Yar when she was put in the penalty box by Q in tng1x10 “Hide and Q”.
coping with test anxiety	1105	coping with an affliction			Someone (or some sentient thing) copes with being lost in the vast vastness of space.	The sentient space probe Nomad coped briefly with being lost in space, parted from its maker Jackson Roykirk, in tos2x08 “The Changeling”.
coping with tight boots	1111	coping with an affliction			Someone copes with being stranded for an extended duration, like Robinson Crusoe.	Thomas Riker was rescued after having been stranded on Nervala IV for eight years in tng6x24 “Second Chances”.
coping with a loved one being in peril	243	coping with danger			Someone is subjected to cruel, painful and deliberate mistreatment against their will.	Captain Picard coped with extreme physical and psychological torture in tng6x11 “Chain of Command, Part II”.
coping with being locked up in a penalty box	1097	coping with danger			Someone experiences losing a near and dear one to suicide. Alternatively, in a creative sci-fi story, they could possibly cope with the ramifications of their own suicide.	The crew was shocked and bereaved at the suicide of their fellow crewman Daniel Kwan in tng7x18 "Eye of the Beholder".
coping with being lost in space	1098	coping with danger			Someone grieves over the loss of their child.	Lwaxana mourned the death of her daughter Kestra in tng7x07 “Dark Page”.
coping with being stranded alone for years	773	coping with danger			Someone grieves after a colleague has passed away.	
coping with being tortured	373	coping with danger			Someone grieves over the death of a fellow countryman who they, for example, share nationality or common cause with.	Worf coped with the death of a renegade Klingon compatriot by unleashing a thunderous death howl in tng1x20 “Heart of Glory”.
coping with suicide	1104	coping with death			Someone grieves over the loss of their fiancée.	Angela Martine's fiancée Robert Tomlinson died after inhaling lethal quantities of phaser coolant in tos1x08 “Balance of Terror”.
coping with the death of a child	457	coping with death			Someone grieves over the death of a friend.	McCoy mourned Captain Kirk after he was pulled into interspace in tos3x09 “The Tholian Web”.
coping with the death of a colleague	244	coping with death			Someone grieves over the death of a grandparent. 	Beverly attended the funeral of her grandmother Felisa Howard on Caldos II in tng7x14 “Sub Rosa”.
coping with the death of a fellow compatriot	517	coping with death			Someone grieves over the death of a lover. 	Captain Kirk cried on Spock’s shoulder, after he had knowingly allowed his lover Edith Keeler to die, in tos1x28 “The City on the Edge of Forever”.
coping with the death of a fiancée	778	coping with death			Someone (typically a child) grieves over the loss of a parent.	Jeremy Aster was racked with guilt in tng3x05 “The Bonding” for falsely thinking that he was responsible for the death of his parents.
coping with the death of a friend	176	coping with death		kiling an injured pet	Someone grieves over the loss of their pet.	Spock mourned the loss of his pet sehlat in tas1x02 “Yesteryear”.
coping with the death of a grandparent	1106	coping with death			Someone grieves over the death of a sibling.	Rabal mourned the loss of his sister, and fellow environmental activist, Serova in tng7x09 “Forces of Nature”. 
