Theme	ThemeID	ParentTheme	Domain	RelatedThemes	Tags	Definition	Example
Lilliputians	24	miscellaneous life form	alternate reality		aliens	Humanoids that are just unusually small for some reason, like the Lilliputians in "Gulliver's Travels" by Jonathan Swift.	Spiroid epsilon waves had turned human scientists into tiny humanoids that were about one sixteenth of an inch tall in tas1x11 "The Terratin Incident".
Nazi Germany pros and cons	25	social order	society			Nazi Germany is discussed, typically in a negative light. Preposterous as it may seem, however, people sometimes point out perceived advantages of it.	The Space Nazi's of tos2x23 "Patterns of Force" were wicked to the core, but they did make the trains run on time.
Plato's Republic	26	utopia	alternate reality			Society is supposedly ideal because it is controlled by a class of exalted individuals who are just wiser than the rest.	The Platonians of tos3x12 "Plato's Stepchildren" modelled their society on this Platonic ideal.
the ethics of interfering in less advanced societies	27	social ethical dilemma	society			The ethical question of whether and to what extent it is morally acceptable for an advanced society to interfere in the everyday life and development of a less advanced society is discussed.	
Sophie's choice	28	personal ethical dilemma	the human condition			Someone must choose between two people, or two groups of people, that are roughly equal as far as the chooser is concerned. The one picked will be saved and the other condemned.	The Vians went about choosing which one of two Minaran civilizations to save from an impending supernova in a most curious manner in tos3x08 "The Empath".
Spartan asceticism	29	agreeable characteristic	the human condition	temperance		Someone declines luxury and comfort.	
Spock vs. woman	30	the battle of the sexes	society			There is competition between Spock and a woman, and emphasis on the different advantages and disadvantages associated with their respective biologies.	Leila tried in vain to win the cold logical heart of Spock in tos1x25 "This Side of Paradise".
Stockholm Syndrome	31	pathological state of mind	the human condition			A hostage victim comes to feel affection for their captor.	Beverly came to empathize with her kidnapper, the terrorist leader Kyril Finn, in tng3x12 "The High Ground".
The Copernican Principle	32	topic in science	the pursuit of knowledge			This principle, named in honor of Nicolaus Copernicus, states that Earth is not in a central, specially favored position in the universe.	Mark Twain explained in tng5x26 "Time's Arrow" how British naturalist Alfred Russell Wallace had "revived the theory that Earth is at the center of the stellar universe".
The Hippocratic Oath	33	medical ethics	society			The old doctor’s maxim: "above all, do no harm," is featured.	
a danger shared can bring people together	34	group interaction	the human condition			It is observed how a shared danger to a group of people can work to forge unity and cooperation within that group.	By facing a ferocious electromagnetic beast together, Captain Picard and the Tamarian Captain Dathon finally figured out how to communicate in tng5x02 "Darmok".
a god and his people	35	organized religion	the pursuit of knowledge			The relationship between a god and his (her?) people is investigated.	
a person and his clone	36	familial relations	the human condition			The relationship between a person and a clone of the same person is featured.	Riker learned first hand that he was not wholly easy to get along with in tng6x24 "Second Chances" when he came across his own exact duplicate.
a wider world	37	introspection	the human condition			Someone has their horizons broadened and realize what a limited (mental) world they lived in before.	
abiogenesis	38	topic in science	the pursuit of knowledge			The natural process by which life is thought to have arisen from non-living matter such as simple organic compounds.	Q brought Captain Picard back in time and showed him the bubbling pool of ooze from which the first complex organic molecules on Earth would emerge in tng7x25 "All Good Things...".
abortion	39	past and present moral controversy	society			We are asked to what extent, i.e., at what time in the gestation process and by what manner, if any, abortion should be permitted.	Troi was quite taken aback when Worf indelicately suggested that she should terminate her pregnancy in tng2x01 "The Child".
absentee father	40	parenting	the human condition		juvenile	Daddy is away from home for an extended period of time, perhaps because of a remote work assignment.	
abuse of authority	41	contemporary social issue	society			Vested authority is used by someone to illegitimately pursuit their own private goals.	
abuse of real power	42	contemporary social issue	society			Someone has actual power over others, e.g. by muscle, weaponry or magic powers, and use these in a morally contentious way.	
acceptance	43	pleasant emotion	the human condition	admiration, trust	Plutchik-emotion	A character exhibits a mild feeling of being "okay" with someone or something. This is typically used when character shows a willingness to tolerate someone who is unpleasant to their sensibilities.	
accumulation of wealth vs. personal development	44	life choice	the human condition			A character at a major cross road in their life chooses between pursuing wealth on one hand, and pursuing personal development on the other.	Captain Picard explained to Ralph Offenhouse that people of the 24th century no longer cared about accumulating wealth but rather sought personal development in tng1x26 "The Neutral Zone".
acting	45	the fine arts and the humanities	the pursuit of knowledge			Someone plays a role in theatre, film, etc.	Data played Henry V in Shakespeare's play of the same name on the holodeck in tng3x10 "The Defector".
activism	46	contemporary social issue	society			The category of themes about common social movements that aim to change society in various ways.	
acute anxiety	47	pathological state of mind	the human condition			Someone exhibits general nervousness, fear, and paranoia.	
admiration	48	pleasant emotion	the human condition	acceptance, trust	Plutchik-emotion	A character exhibits a strong feeling of approval that is grounded in "acceptance" and "trust" in a person of competence, talent, or skill exceeding standards.	
adolescence	49	growing up	the human condition		juvenile	Problems associated with pubescent teenagers are featured.	
adopting a child	50	life choice	the human condition			A character struggles with the major life decision of whether to adopt a child.	Worf ritually adopted Jeremy Aster into the House of Mogh after the boy's mother died in the line of duty in tng3x05 "The Bonding".
adoption	51	parenting	the human condition		juvenile	Someone adopts a child legally as their own in spite of not being the biological parent.	Talarians adopted the human boy Jono after having savagely massacred his family in a raid in tng4x04 "Suddenly Human".
aesthetics	52	classical philosophy	the pursuit of knowledge			The branch of philosophy dealing with the nature of art, beauty, and taste; and with the creation and appreciation of beauty.	
agility vs. strength	53	the art of war	the pursuit of knowledge	brains vs. brawn		An quick and spry person is pitched against a physically powerful opponent in a fight and we wonder which of these qualities is more important for victory.	Captain Kirk was pitted in an epic battle of agility and brains vs. strength against a Gorn captain in tos1x19 "The Arena".
agony booth	54	fictional apparatus	alternate reality			A phone-booth shaped contraption used to inflict unbearable pain without causing physical injury.	Chekov (mirror universe) was sentenced to a full duration in the agony booth for his role in an assassination attempt on his captain in tos2x10 "Mirror, Mirror".
agreeable characteristic	55	human characteristic	the human condition	disagreeable characteristic	positive	The category of themes that illustrates character traits that are generally admirable and typically considered beneficial to society.	
alcohol metabolism	56	topic in science	the pursuit of knowledge			The process by which the body rids itself of alcohol and, in particular, the time it takes to "sober up".	Captain Picard explained to Dirgo that alcohol would not quench their thirst but would rather aggravate it in tng4x09 "Final Mission".
alien abduction	57	crackpot theory	the pursuit of knowledge		aliens	The abduction of someone against their will by aliens.	Captain Picard was abducted from the Enterprise-D by a pair of unnamed aliens and replaced with a replica in tng3x18 "Allegiance".
alien brought pandemic	58	extraterrestrial threat	alternate reality		aliens	Aliens from outer space bring with then an infectious disease that threatens life on your planet.	The plant-like Phylosians were brought to the brink of extinction by an alien brought pandemic in tas1x07 "The Infinite Vulcan".
alien composed of autonomous parts	59	miscellaneous life form	alternate reality		aliens	A being whose body can, at will, divide into parts that each move and act of their own accord.	Captain Kirk was somewhat taken aback when Ari bn Bem suddenly separated into several autonomous parts in tas2x02 "Bem".
alien customs	60	views and customs	society		culture, aliens	We are shown possible alternative customs and traditions that perhaps make us take our own convictions less for granted.	
alien experiment	61	crackpot theory	the pursuit of knowledge		aliens	The performing of experiments on human subjects by aliens.	Riker was abducted by subspace aliens and used as the subject in a bizarre series experiments in tng6x05 "Schisms". In one such experiment, the aliens amputated Riker's arm and then had it surgically reattached.
alien impregnation of human females	62	crackpot theory	the pursuit of knowledge		aliens	The impregnation of a woman by an alien, typically without her consent and sometimes without her knowledge.	Troi was impregnated by an incorporeal entity that sought to experience the world as a humanoid in tng2x01 "The Child".
alien morals	63	views and customs	society		aliens	We are shown possible alternative systems of morality that perhaps make us take our own convictions less for granted.	
alien origin of the human race	64	crackpot theory	the pursuit of knowledge		aliens	The crackpot notion that aliens came to Earth and created the human race.	The renown Federation archaeologist Richard Galen was hot on the trail of an extinct race of primordial humanoids in tng6x20 "The Chase".
alien overseers	65	superior life form	alternate reality		aliens	There is an advanced race of beings that for one reason or another have chosen to become the guardians of a less advanced race.	
alien point of view	66	views and customs	society			We are shown what things might be like from the point of view of an alien species.	
alien race segregated by gender	67	culturally distinguished life form	alternate reality		aliens	An alien race where the men and the women live separated from one another most of the time.	In the post-glacial Eymorg civilization on Sigma Draconis VI in tos3x06 "Spock's Brain", the women lived comfortably in a vast underground complex, while men toughed it out on the frozen surface.
alien secretly living among us	68	crackpot theory	the pursuit of knowledge		aliens	The crackpot notion that aliens are living secretly among normal people.	Riker was sent to live secretly among the Malcorians in preparation for a possible first contact scenario in tng4x15 "First Contact".
alien with alien values	69	culturally distinguished life form	alternate reality		aliens	Aliens whose values are entirely different from recognizable human values, as opposed to minor variations or exaggerations.	Captain Kirk was perplexed by Organian apathy toward a Klingon occupation of their home world in tos1x27 "Errand of Mercy".
alien with the body of a toddler	70	biologically distinguished life form	alternate reality		aliens	A fully mature, sentient being with a body that closely resembles a human baby.	Balok, captain of the First Federation starship Fesarius, had the body of a toddler in tos1x02 "The Corbomite Maneuver"
aliens mired in institutionalized virtual war	71	culturally distinguished life form	alternate reality		aliens	An alien race that somehow managed to get themselves mired in a virtual war that was fought over so many generations that it became institutionalized.	The Eminians were mired in just such a war with the  People of Vendikar in tos1x23 "A Taste of Armageddon".
aliens talking to us in our dreams	72	crackpot theory	the pursuit of knowledge		aliens	The crackpot notion aliens communicate with people in their dreams.	Troi was contacted in her dreams by telepathic aliens trapped in Tykan's Rift in tng4x17 "Night Terrors".
alternate laws of nature	73	novel sci-fi concept	alternate reality			The category of themes that posit worlds or universes where the laws of nature are different from what we know. These worlds may allow time travel or even magic.	
alternate life	74	alternate reality	alternate reality			The category of themes that are about incredible things or circumstances that could (potentially, hypothetically or in our wildest imagination) befall an individual.	
alternate points of view	75	views and customs	society			We are shown what things might be like from other peoples’ points of view.	
alternate society	76	alternate reality	alternate reality			The category of themes that are about how society could be different - either in the future, in an alien population, or in a different universe altogether.	
alternative medicine	77	discredited scientific theory	the pursuit of knowledge			The pseudoscientific practice of advancing this or that substance as having healing effects, in the absence of proper scientific evidence.	The Kahn-ut-to woman Nona cured Captain Kirk of the poisonous effects of a Mugato bite by rubbing a mahko root over his chest in tos2x16 "A Private Little War".
amazement	78	pleasant emotion	the human condition	distraction, surprise	Plutchik-emotion	A character exhibits a feeling of astonishment, a stronger version of the theme "surprise", bordering on disbelief. This is typically used when a character experiences something truly wondrous, like meeting a god.	William T. Riker was amazed to meet his duplicate Thomas Riker in tng6x24 "Second Chances".
amicable disposition	79	human disposition	the human condition	antagonistic disposition	positive	The category of themes that illustrate positive attitudes we may have towards one another.	
anarchy	80	social order	society			There is lawless anarchy due to the absence of a functioning government.	
anarchy vs. pacifism	81	social dichotomy	society			An anarchist philosophy of life is contrasted with a pacifist philosophy of life. Anarchist usually means a distaste or disregard for rules, while a pacifist’s main tenet is a rejection of the use of violence.	The pacifistic Mizarans were contrasted with the anarchistic Chalnoth in tng3x18 "Allegiance". The Chalnoth Esoqq considered eating the Mizaran Kova Toll as they were interned together without adequate food.
ancient artificial custodian	82	AI technology	alternate reality		AI	An intelligent machine is left by a long gone civilization on a planet  and becomes its guardian or caretaker.	A landing party encountered the artificial custodian Portal 6-3 on a planet formerly belonging to the long disappeared Tkon Empire in tng1x05 "The Last Outpost".
android	83	AI technology	alternate reality		AI	A robot designed to look and act like a human.	
anger	84	unpleasant emotion	the human condition	annoyance, rage	Plutchik-emotion	A character exhibits displeasure or vexation to a point that rises above mere "annoyance", but is not quite so intense that they fall into a "rage", loose control of themself, and start smashing glass tables.	Leah Brahms was aghast to find that Geordi had simulated her on the holodeck in tng4x16 "Galaxy’s Child".
animal training	85	scientific discipline	the pursuit of knowledge			The science of how animals are trained.	Data was in his own words "largely unsuccessful" in his efforts to train Spot the cat in tng7x09 "Forces of Nature".
annihilation by WMDs	86	man-made existential risk	alternate reality			People employ weapons of mass destruction, a.k.a. WMDs, and threaten planetary civilization.	
annoyance	87	unpleasant emotion	the human condition	anger, rage	Plutchik-emotion	Someone has a feeling of irritation that borders on mild "anger".	Captain Picard was rather annoyed with Mot the barber for giving his two cents on Federation-Romulan relations in tng5x03 "Ensign Ro".
antagonistic disposition	88	human disposition	the human condition	amicable disposition	negative	The category of themes that illustrate negative attitudes we may have towards one another.	
anti-aging technology	89	human enhancement	alternate reality			Technology that undoes aging and takes years of your face!	
anti-intellectualism	90	way of life	the human condition	anti-intellectualism in society		Someone expresses hostility towards and mistrust of intellect, intellectuals, and intellectual pursuits.	Daystrom was harassed by philistines like Captain Kirk who didn’t understand is his great achievements in duotronic computing in tos2x24 "The Ultimate Computer".
anti-intellectualism in society	91	contemporary social issue	society	anti-intellectualism		The ramifications of anti-intellectualism in society are explored.	Daystrom was harassed by philistines like Captain Kirk who didn’t understand is his great achievements in duotronic computing in tos2x24 "The Ultimate Computer".
anti-time phenomenon	92	alternate laws of nature	alternate reality		physics, temporal mechanics	A muddle headed notion of something that is to time as antimatter is to conventional matter, i.e., when they meet they annihilate each other in a spectacular explosion and anything can happen.	Time and anti-time collided with spectacular consequences in tng7x25 "All Good Things...".
anticipation	93	pleasant emotion	the human condition	interest, vigilance	Plutchik-emotion	A character feels that something significant but inevitable is about to happen. It is implicit that the character expresses "interest" about the impending happening, but "vigilance" is unwarranted, since it cannot be changed.	Captain Kirk, Spock, and McCoy anticipated being tortured to death by the Vians in tos3x08 "The Empath".
antigrav unit	94	fictional apparatus	alternate reality			A trolley that instead of having wheels can float by somehow counteracting gravity.	
anxiety	95	state of mind	the human condition			Someone is troubled by worries over an uncertain event in the near future.	
appearances can be deceiving	96	life lesson	the human condition			We are shown that people may not always be quite what they appear to be.	
apprehension	97	unpleasant emotion	the human condition	fear, terror	Plutchik-emotion	Someone experiences mild anxiety about the near future, but it falls short of being genuine "fear".	Scotty was apprehensive about something feeling wrong with the Enterprise engines in tos3x14 "That Which Survives". The chief engineer was summarily advised by Spock to " avoid emotionalism and simply keep your instruments correct".
arachnophobia	98	pathological state of mind	the human condition			Someone exhibits a fear of spiders.	Miles O'Brien confided in Barclay that he overcame arachnophobia by crawling into a Jefferies tube filled with twenty Talarian hook spiders in tng6x02 "Realm of Fear".
archaeology	99	scientific discipline	the pursuit of knowledge			The scientific study of human activity through excavation of old sites, analysis of artefacts, etc.	
arms race	100	war	society			Two rival factions each strive to improve to their arsenal of weaponry in order to outdo the other and gain an upper hand in the event of a war.	
arms trade	101	war	society			One faction sells weapons to another faction. To what extent is the seller responsible for the actions carried out with such weapons?	
arranged marriage	102	past and present moral controversy	society			We are asked to what extent, if any, people should be free to marry whom they choose, or whether parents and other interested parties should have a say.	Spock urgently returned to Vulcan for the expressed purpose of wedding, and subsequently copulating with, his arranged bride T'Pring in tos2x05 "Amok Time".
art appreciation	103	the fine arts and the humanities	the pursuit of knowledge			How best to appreciate art is discussed.	
art criticism	104	the fine arts and the humanities	the pursuit of knowledge			Art is discussed critically.	Data found evidence of "unsettling overtones of proto-Vulcan influences" in Picard's painting of a nude model in tng3x14 "A Matter of Perspective".
artificial human body	105	human enhancement	alternate reality			An artificially constructed human body into which a real persons mind can be put one way or another.	Renowned exobiologist Roger Korby constructed android "clones" of himself and other people in tos1x09 "What Are Little Girls Made Of?".
artificial planet	106	mastering space	alternate reality			An entire planet designed and constructed by some sentient race.	A mysterious planetoid turned out to be a wholly artificial artifact of a long gone alien civilization in tos3x14 "That Which Survives".
asteroid belt	107	what's out there	alternate reality			A a ring of small and large rocks and dust in orbit around a star.	
asteroid deflection	108	topic in science	the pursuit of knowledge			A collection of methods by which an asteroid could be diverted from colliding with a planetary target.	After the Enterprise had spectacularly failed to divert an asteroid, Captain Kirk accidentally activated an ancient asteroid deflecting device on the planet’s surface in tos3x03 "The Paradise Syndrome".
asteroid deflector	109	mastering space	alternate reality			A device capable of protecting its host planet by deflecting incoming asteroids.	After the Enterprise had spectacularly failed to divert the asteroid, Captain Kirk accidentally activated an ancient asteroid deflecting device on the planet’s surface in tos3x03 "The Paradise Syndrome".
asteroid impact	110	force majeure existential risk	alternate reality			Life on a planet is threatened by an asteroid that is on a collision course with it.	
atmospheric dissipation	111	force majeure existential risk	alternate reality			The atmosphere on a planet disappears and civilization collapses.	Worf's unruly brother Nikolai save a group of Boraalan villagers from certain death in a rapid atmospheric dissipation event on their homeworld in tng7x13 "Homeward".
atrocities of war	112	war	society			Atrocities, such as torture or the mass killing of civilians, are carried out during the course of a war.	
atrophied civilization	113	man-made existential risk	alternate reality			Civilization simply stagnates and becomes weak to the point where it may not be capable of safeguarding its own continuation.	
attachment to one's land	114	human need	the human condition			The human penchant for becoming attached to geographical locations is featured. This is perhaps a nicer way of referring to human territoriality.	
attachment to one's livelihood	115	human need	the human condition			The human tendency to become attached to a profession and be reluctant to give it up is featured.	Xenophobic miners on Janus VI nearly killed the last alien of a species rather than give up their lucrative livelihood in tos1x26 "The Devil in the Dark".
attachment to one's people	116	human need	the human condition			The human tendency to build up loyalty to the people in the society we live in for a long time is featured. This is perhaps a nicer way of referring to (ethno-) nationalism.	Ro Larren decided to betray the Federation and side with her own people in tng7x24 "Preemptive Strike".
attack from outer space by a genocidal enemy	117	extraterrestrial threat	alternate reality		aliens	Homicidal aliens from outer space come to your home planet and massacre everyone.	The colonists of Tau Cygna V were slated for extermination by the genocidal Sheliak in tng3x02 "The Ensigns of Command".
attack from outer space by a giant space amoeba	118	extraterrestrial threat	alternate reality		aliens	An enormous space-dwelling, single-celled organism with amoeba-like characteristics engulfs your whole planet and consumes every last thing living on it as well as the planet itself.	The Gamma 7A system, with its billions of inhabitants, was utterly destroyed by a giant space amoeba in tos2x19 "The Immunity Syndrome".
attack from outer space by a powerful conquering alien race	119	extraterrestrial threat	alternate reality		aliens	Imperialistic aliens from outer space come along and subjugate your civlization to their own ends.	The mirror universe Halkan homeworld  was under threat of being conquered or destroyed by the savage Terran Empire in tos2x10 "Mirror, Mirror".
attack from outer space by a world eating machine	120	extraterrestrial threat	alternate reality		aliens	An enormous world eating machine gobbles up your whole planet for food or fuel.	All the planets in systems L-370 and L-374 were reduced to rubble by a world eating machine in tos2x06 "The Doomsday Machine".
attack from outer space by a world eating space cloud	121	extraterrestrial threat	alternate reality		aliens	An enormous world eating cloud from outer space gobbles up your whole planet for food or fuel.	The planet Mantiles, with its 82 million colonists, was very nearly consumed by a giant space cloud in tas1x03 "One of our Planets is Missing".
attack from outer space by bug aliens	122	extraterrestrial threat	alternate reality		aliens	Nefarious bug-like aliens from outer space come along, infiltrate and subjugate your civilization to their own ends.	Starfleet Command was infiltrated by a race of parasitic bug aliens intent on the conquest of Earth in tng1x25 "Conspiracy".
attitude towards the dead	123	views and customs	society			We are shown possible ways of thinking about death and the departed.	Most of us feel a measure of respect for the body of a late compatriot, but the Klingons in tng1x20 "Heart of Glory" demonstrated complete disregard for the empty husk of a corpse their friend had recently departed.
autonomous sentient tool	124	AI technology	alternate reality		AI	A sentient robot that functions essentially as a multi-purpose tool with a high degree of problem-solving ability.	
avarice	125	deadly sin	the human condition			A character is obsessed with the pursuit of material possessions.	DaiMon Lurin, motivated by profit, temporarily seized control of the Enterprise-D and threatened to force its crew to work the mines of Ligos VII in tng6x07 "Rascals".
avian alien	126	earth-life inspired life form	alternate reality		aliens	An alien race patterned after birds.	The historian Aleek-Om, a bird-like alien of the race Aurelian, took tricorder readings in the vicinity of the Guardian of Forever in tas1x02 "Yesteryear".
awe	127	pleasant emotion	the human condition			A character exhibits a strong feeling of wonder and amazement, often tinted with a dash of fear and reverence.	
basic calculus	128	topic in science	the pursuit of knowledge			A large and important area of mathematics with applications in all fields of science and engineering.	Young Harry did not understand why he had to study calculus in tng1x17 "When The Bough Breaks". He would much rather have spent his time sculpting dolphins.
be careful what you wish for	129	life lesson	the human condition			Someone gets what they desire only to find out that they really shouldn’t have desired it in the first place.	
be mindful of first impressions	130	life lesson	the human condition			Someone learns how important first impressions can be as they often last longer in the mind than subsequent memories.	Sonya Gomez made a terrible first impression when she spilled hot chocolate all over Captain Picard on her first day in tng2x16 "Q Who".
beards	131	male stereotype	society			The sublime matter of pogonotrophy (the cultivation of one's facial hair) is discussed.	Star Trek enthusiasts were treated to a double dose of Riker and his beard in tng6x24 "Second Chances".
beating one's self up	132	introspection	the human condition			Someone chastises themself over a perceived failure.	
beauty is in the eye of the beholder	133	views and customs	society			We are shown that the perception of what is beautiful or not depends on the observer. What is pretty to one may be ugly to another.	The grotesque looking Horta alien thought that it was the humans that should be pitied for their unsightly appearance in tos1x26 "The Devil in the Dark".
bedrock dwelling alien	134	inhospitable environment dwelling life form	alternate reality		aliens	Aliens that live literally in bedrock.	The Horta, itself composed of silicon, eked out a living by burrowing tunnels in the bedrock on Janus VI in tos1x26 "The Devil in the Dark".
being that feeds on emotions	135	parasitic life form	alternate reality		aliens	An alien life form that somehow derives nourishment from the emotions of beings that have emotions.	
belonging	136	group interaction	the human condition			Members of a group feel that they are an essential part of that group.	
betrayal of trust	137	one-on-one interaction	the human condition			A character betrays the trust of another.	
better to have loved and lost	138	life lesson	the human condition			The wisdom in the old saying "it is better to have loved and lost than never to have loved at all" is illustrated.	When star-crossed lovers Nella Daren and Captain Picard opted to part ways after a passionate but turbulent dalliance in tng6x19 "Lessons", both seemed decidedly happier for the experience they had shared.
bigotry in society	139	contemporary social issue	society			The ramifications of bigotry, insensitivity to other peoples beliefs, in society are explored.	
bilaterally colored alien	140	biologically distinguished life form	alternate reality		aliens	A sentient species whose members have different skin pigmentation on the left side and the right side of their bodies respectively.	Cheron natives Bele and Lokai were black on one side and white on the other In tos3x15 "Let that be your Last Battlefield"
binary thinking alien	141	mentally distinguished life form	alternate reality		aliens	An alien race that is said to think like a computer in ones and zeros.	The Bynar of Bynaus though in binary in tng1x15 "11001001".
biological computer	142	fictional apparatus	alternate reality			A machine that works much like a classical computer but is grown out of organic materials.	
biological stasis technology	143	human enhancement	alternate reality			Technology that can stop, e.g., a human body from aging or changing in any way for an extended amount of time.	Kamala the Metamorph was kept in a stasis device so that she wouldn’t upset the crew with her erotic powers in tng5x21 "The Perfect Mate".
biological warfare	144	war	society			Biological weapons, i.e., man-made diseases, are used in warfare.	
biologically distinguished life form	145	novel alien concept	alternate reality		aliens	The category of themes that posit aliens with particular kinds of biologies such as living in symbiosis or having unusual methods of reproduction.	
bird in a gilded cage	146	facing general adversity	the human condition			Someone faces living in luxury but without freedom.	Harry Mudd was waited on by an army of ostensibly loyal androids and had everything he could wish for except the freedom to leave in tos2x12 "I, Mudd".
birth control	147	past and present moral controversy	society			We are asked what, if any, birth control methods are acceptable.	The People of Gideon, the Space Catholics, were fundamentally opposed to using birth control as a means to solve their over-population crisis in tos3x17 "The Mark of Gideon".
black hole	148	what's out there	alternate reality			A region of space exhibiting such strong gravitational effects that nothing (not even particles and electromagnetic radiation such as light) can escape from inside it.	
